"File","HasBOM"
"C:\SNS_24AutoProject_250723\modules\dm\bot_comment.py","True"
"C:\SNS_24AutoProject_250723\modules\dm\queue.py","True"
"C:\SNS_24AutoProject_250723\modules\dm\__init__.py","True"
"C:\SNS_24AutoProject_250723\.pre-commit-config.yaml","True"
